ROW_NAMES	CBX1_average	CBX3_average	CBX5_average	CBX7_average	CBX8_average	MSH2_average	MSH3_average	MSH6_average	PARP1_average	RPA1_average	RPA2_average	RPA3_average	XRCC5_average	XRCC6_average	SSBP1_average	SPIN1_average	WDR76_average	
gi|29570791|ref|NP_808227.1|	-31.63207	-22.18827	-18.15211	18.42354	1153.475	-3.261164	-14.3724	-6.754007	-27.59377	0	0	-37.84041	-4.442128	-6.722446	-2.343557	11.84299	106.2113	
gi|393715091|ref|NP_001257328.1|	-25.01606	-17.21224	-6.997511	-9.343443	-37.42623	-0.9703555	-18.58378	7.510558	-15.71582	0.2862921	418.9516	-6.217125	-4.407749	-3.41118	-16.50341	-17.82997	366.7539	
gi|14389309|ref|NP_116093.1|	-76.47729	-91.76829	-54.00319	-1.181175	-76.44784	0.9590294	53.29877	455.0111	-95.35921	404.2544	503.5579	-98.95069	437.5047	54.25762	-35.51857	-88.82127	-38.10313	
gi|4503841|ref|NP_001460.1|	-154.0573	-56.33207	-82.384	-27.1461	-90.64793	-22.88753	-57.1609	-36.07729	-166.6016	76.49743	-92.447	-218.0553	9880.233	933.7927	-9.960076	-94.62448	-126.4849	
gi|57863257|ref|NP_110379.2|	-53.17929	-57.73356	-30.35695	630.1427	917.2607	-9.357118	-38.52899	-29.52623	-44.45535	-31.02259	-30.04488	-64.15656	-51.33239	-37.00925	-34.9385	-36.91308	181.3822	
gi|31541941|ref|NP_055093.2|	-17.13958	-16.785	-9.441972	-10.6814	210.3577	-3.573209	-6.535992	-4.07079	-10.55097	-9.435897	23.6972	-21.29239	3.542447	-10.78818	132.4055	-14.95071	-6.421307	
gi|301171345|ref|NP_001180343.1|	-5.664545	-3.24152	0	14.59206	-3.416098	0.1311571	-2.295103	41.7078	-4.561409	51.54879	63.80607	-2.620997	5.191517	-3.402579	-1.469145	-4.125098	0	
gi|38202257|ref|NP_938148.1|	-3.924621	-6.633116	-3.628212	-4.391797	-8.724932	13.39927	6.439899	2.569624	76.40342	-1.848326	-2.834786	-8.810564	-3.010038	-4.025358	20.736	9.706584	4.297521	
gi|29029559|ref|NP_001307.2|	11.54346	-0.3405156	-3.992896	-4.418892	-2.19348	1.486267	12.31426	-1.366048	59.8548	0	-4.357916	-7.244622	-7.159436	-4.668532	2.782351	11.35679	-3.089494	
gi|4506583|ref|NP_002936.1|	-97.56124	-9.47809	-9.875742	-7.276406	-14.83486	-10.69432	-35.42602	-10.21407	-169.2472	463.4319	4699.015	5816.447	-80.13015	-7.433769	-34.21415	-21.25018	-26.92152	
gi|4506741|ref|NP_001002.1|	-0.6463517	-2.50489	-2.803143	15.38606	-3.727024	-1.465112	1.960017	-0.3664768	32.72882	-2.764481	-1.104958	-4.672509	-4.349129	-3.44436	0	27.87289	45.16628	
gi|4506725|ref|NP_000998.1|	3.265267	2.316213	16.33433	33.16816	-5.978826	1.221651	-0.6095988	-0.5101101	17.58613	-2.622266	-1.690932	-5.881203	-3.865468	-3.143425	0	-2.194791	37.60848	
gi|223890243|ref|NP_006004.2|	8.914602	52.58914	19.53584	10.9712	-13.42989	-2.778382	-4.042503	-3.967499	63.85217	-1.273406	0	-11.58571	-4.587461	-5.571904	0	-7.793219	126.5244	
gi|27477041|ref|NP_036437.1|	-8.249922	-8.268087	-3.981519	267.907	111.7984	-2.157693	-5.752142	-5.198433	-8.044224	0	0	-9.234862	-3.086916	-3.215301	0	-5.176524	-4.477649	
gi|4503097|ref|NP_001887.1|	-18.02654	-14.07065	-8.495497	41.73068	665.0223	-2.046135	-7.257342	-3.472723	-15.83875	0	0	-18.46249	-2.833444	0	0	-5.760018	46.80776	
gi|153792590|ref|NP_001017963.2|	-22.43524	-20.14918	-9.909089	-18.11244	-21.03435	27.97207	51.16937	33.75171	153.4013	-14.91137	-18.07917	-38.67521	-5.732301	-14.4718	58.96953	10.37962	1.322826	
gi|4506605|ref|NP_000969.1|	-9.449309	-18.98229	-2.512714	415.2347	-34.86432	-7.074755	-17.3512	-15.02906	-23.77348	-13.48901	-14.41923	-31.34425	-11.71343	-15.2168	-4.991746	-19.42132	466.284	
gi|5803181|ref|NP_006810.1|	-12.79171	-11.15432	-6.938959	-7.850709	-17.35871	2.938449	-4.870957	13.95302	-10.28983	7.241836	-7.130966	-13.48704	67.14059	-3.237875	277.9228	-10.86347	0.9487962	
gi|119220557|ref|NP_001072992.1|	-3.524306	-4.688075	-2.75442	-3.375381	-0.01099672	3.784585	14.99783	3.212734	32.77226	-2.437249	-2.499579	-6.362824	-4.475425	-1.520919	26.2529	6.041078	-3.102156	
gi|62414289|ref|NP_003371.2|	-7.966529	-8.051034	-5.0447	-4.466327	-12.90535	3.834395	2.306637	1.688229	15.69729	19.75178	-3.638066	19.92018	-8.873373	102.9697	0.006017374	13.20172	-9.881153	
gi|66392203|ref|NP_001018146.1|	2.281902	1.04471	-0.7683062	-0.519613	-3.074766	8.506458	5.628276	0.5278831	-2.010192	0	-0.8723623	-3.151733	3.326839	1.809702	0	7.646336	2.636625	
gi|5031741|ref|NP_005871.1|	-12.28524	-13.00008	-5.553747	31.36304	-21.04911	-3.311906	-9.126259	-5.754294	-14.52002	-7.451697	156.8221	-17.49491	28.2721	-9.293701	0	-13.23224	361.6438	
gi|13128860|ref|NP_004955.2|	14.43346	6.012875	1.487835	-1.482316	-1.451116	3.578092	0.2669757	5.920564	-0.5153194	-1.365212	-1.6891	-2.126344	-3.003482	-2.214315	-2.085479	2.370814	0.8166195	
gi|4758504|ref|NP_004484.1|	-0.3839075	-4.225239	-1.495051	-2.564944	-5.254693	3.306704	7.777428	3.29767	24.0268	-2.336934	-2.965554	-2.550058	-4.566389	7.205104	-2.834278	13.98361	-1.895209	
gi|20127408|ref|NP_000173.2|	-1.73106	-3.369066	-2.855801	8.153033	-7.071902	2.75564	5.240792	5.870833	70.79802	-2.80629	-1.829892	-5.18277	-4.394569	-3.165479	-2.143528	1.385487	-1.137711	
gi|47132595|ref|NP_998776.1|	-3.190935	-4.100682	-2.366091	3.124238	-5.462574	1.865329	0.9617666	8.84695	9.044402	-0.9914175	34.72842	-3.025485	3.515273	-2.752018	0	-3.784188	20.25495	
gi|4506587|ref|NP_002938.1|	-50.67416	-18.69937	-4.980792	0	-4.199427	0	-16.15737	-3.703616	-90.04963	1822.781	233.7733	3941.969	-36.44435	-61.97645	0	-21.91242	-34.78752	
gi|4759146|ref|NP_004778.1|	42.69192	85.095	31.95648	9.396331	-4.755824	-0.9956405	0	-1.265303	-6.530906	-1.20873	0	-9.039384	0	0	0	-7.025012	72.33851	
gi|194248072|ref|NP_005336.3|	-413.0328	-335.2402	-228.613	-215.4849	1401.156	-99.48118	-54.36425	524.6378	-394.9055	391.2289	61.74412	-509.3877	850.8721	-91.72218	2818.099	-356.246	-11.39502	
gi|14210536|ref|NP_115914.1|	-3.223831	-2.711571	-1.571107	-1.957083	-3.818948	1.349321	8.966702	12.58298	-1.150757	13.59617	6.296687	-3.711756	16.42522	-1.352791	0	-2.769306	11.53478	
gi|4757732|ref|NP_004199.1|	-9.944098	-7.255666	-3.458961	11.72959	12.68602	-0.5807182	3.253608	-2.58833	-9.456655	3.230724	94.51331	-12.55094	41.51126	-4.127447	-3.834181	-8.796596	20.62405	
gi|4507677|ref|NP_003290.1|	-0.5756067	-7.41693	-4.908368	-5.364243	-10.11669	9.87598	15.14115	8.117659	79.52098	-4.542665	-2.659582	-11.31035	-8.563183	-0.8808259	44.33326	11.08449	-7.46061	
gi|23510340|ref|NP_695012.1|	-4.647382	-5.594544	0.3137196	-3.603755	-7.211799	2.124478	19.66095	10.06702	51.35604	-3.379145	-2.635709	-5.363406	-1.974185	3.743643	1.507604	2.96965	-3.6755	
gi|23503295|ref|NP_001311.3|	-13.63135	-11.13101	3.592295	2.513643	156.7654	-3.861625	-9.837114	-9.188835	-5.863621	-4.762969	-2.35123	-17.97461	-9.687452	-7.877915	0	36.51264	164.7404	
gi|5729875|ref|NP_006658.1|	-3.377885	4.127996	-3.345506	-3.043023	-1.911665	-1.452714	9.144792	32.30666	4.268789	-3.343296	-3.477626	-3.796171	6.759145	-3.833092	-1.065857	15.93885	-6.250568	
gi|195976805|ref|NP_001124463.1|	-4.698022	-2.153831	-2.25862	0.2783722	66.52612	-1.701254	0.8383409	-1.812477	66.52337	-1.118893	-3.61861	-6.980104	-5.87682	-2.832431	12.8826	-5.137722	21.0827	
gi|5031981|ref|NP_005796.1|	7.776072	3.758929	-1.221638	-1.260907	-0.7862126	-0.7651255	2.287566	1.720859	8.614986	-0.8343353	-1.567193	-3.313672	-2.473723	-0.9498446	-1.197948	9.63046	-1.309608	
gi|18860916|ref|NP_036387.2|	0.2413457	1.642649	-1.420278	1.231628	-0.7707216	1.964663	6.851299	2.614205	8.637116	-1.205466	-1.549066	-2.164509	-2.071735	-0.07572468	0	2.540732	-1.025514	
gi|32483377|ref|NP_054817.2|	-0.7693838	3.293614	-0.7281414	-1.951106	-4.084237	1.165753	8.228511	-1.984329	19.24126	0	-2.287512	-0.8717405	-3.956327	-2.270455	5.14553	26.21974	-3.242855	
gi|4557469|ref|NP_001273.1|	-11.86122	-12.89748	-6.595079	443.5504	192.5097	-1.867139	-5.112172	-4.489008	-13.0378	0	0	-11.62452	-1.558273	-2.395943	-3.128046	-1.673773	4.832857	
gi|4506675|ref|NP_002941.1|	0.7406978	3.961027	-2.581775	-2.442826	-6.665319	10.91103	66.35582	-1.178983	22.05024	-1.592632	0	-5.889798	-3.357254	-3.111491	0	23.53498	-3.71563	
gi|24415404|ref|NP_055426.1|	15.48537	1.540691	-1.320193	1.27901	-1.50416	-0.282579	1.972607	1.814399	-1.488413	0	-1.181236	-2.289915	-2.33638	-1.581196	0	5.705496	10.5266	
gi|7662276|ref|NP_055534.1|	39.30724	42.73485	8.364398	8.631392	-0.7515144	-1.343284	-3.295984	-1.083628	-3.908343	0	-2.751091	10.90616	-1.20762	0	0	-4.245819	3.845674	
gi|9966805|ref|NP_065147.1|	11.97752	23.55782	1.625646	1.081007	-1.889717	0	-1.18763	0	-0.9089217	0	0	-6.215489	0	-1.87264	0	-3.670534	191.7834	
gi|215422366|ref|NP_001135442.1|	15.39679	-0.005072334	12.63677	-0.3518392	26.73271	-0.7317408	-2.217223	0	-3.506927	0	0	-1.441516	0	0	0	-0.6600318	31.86526	
gi|4504733|ref|NP_003595.1|	-9.066482	-6.427884	-3.547277	31.23325	-14.27557	3.018625	11.84204	11.36355	-0.9342964	1.310033	6.203649	-7.403756	-1.309168	-7.208224	-5.063381	-9.895194	51.65538	
gi|5453603|ref|NP_006422.1|	-74.86829	-72.49368	-39.4131	1058.874	945.8406	-21.03715	-51.12868	-34.04821	-69.50312	-33.2045	-33.47733	-85.26554	-50.36329	-40.22504	-44.38757	-30.50325	426.9568	
gi|21361322|ref|NP_006078.2|	-3.82284	-2.569113	0	0.3732243	-5.704539	-1.433265	-3.155484	3.326381	-4.499334	26.78629	95.08216	-4.249299	43.6787	-2.987832	0	0	0.8690704	
gi|38455427|ref|NP_006421.2|	-20.80664	-23.62921	-14.39513	243.7732	179.0421	20.03123	-12.06064	7.113101	-13.25323	-12.4927	-13.96281	-32.49694	-24.6424	-16.43015	-13.29111	-1.81412	62.20588	
gi|374671789|ref|NP_001243442.1|	-48.19117	-38.58151	-14.97208	-23.9492	-58.77731	-4.665923	-26.2553	-30.46495	-43.3531	892.2496	85.2666	1084.326	-38.44933	149.9302	128.4377	-25.33921	-24.61952	
gi|17921989|ref|NP_005991.1|	-12.22191	-10.67351	-5.41627	23.5441	-13.39827	0.04319202	-0.9193136	56.59853	-11.48144	55.16719	138.6128	-12.91367	44.53805	-7.741771	-2.997018	-10.4276	-11.92861	
gi|12025678|ref|NP_004915.2|	-3.422199	-4.388928	-2.83223	-3.175617	-5.982008	11.6153	13.62947	9.495429	35.39311	-2.723797	-2.088885	-5.727652	-4.75244	-3.059605	11.01687	18.40201	-5.420659	
gi|25777600|ref|NP_002798.2|	15.26779	0.100275	-2.113001	-3.31286	-2.299033	11.75564	0.3335152	8.740157	10.18413	-2.953463	-1.693727	-6.559807	-2.553964	-3.164389	-0.8197677	12.3752	-1.365474	
gi|16579885|ref|NP_000959.2|	6.141081	24.46197	-0.3477296	-2.529302	-9.302423	-2.008781	-3.593863	-4.184418	73.06735	-3.71458	0	-8.532832	-5.581763	-2.870915	0	3.511097	41.28393	
gi|151301219|ref|NP_938074.2|	-11.91354	-12.59185	-6.637735	-4.414786	425.2331	-3.804072	-9.294759	-8.388329	-12.77911	-2.300427	-2.331593	-13.72659	-7.942997	-5.487571	-8.26702	267.8718	-11.97513	
gi|27477134|ref|NP_079199.2|	1.06963	8.696992	-1.783639	-2.034362	-4.505222	12.36132	11.13199	13.00442	-1.294433	-1.591746	-1.675942	-3.342728	-0.4218884	-1.132539	-1.722729	4.705481	-3.075903	
gi|4506613|ref|NP_000974.1|	-5.473729	-7.159395	-3.637138	18.53191	76.30033	-2.161899	-5.122629	-1.387457	43.23081	-1.89085	0	-9.221241	-2.25198	-4.71337	0	4.326163	60.9193	
gi|150378533|ref|NP_003461.2|	-12.12557	-15.18184	-6.233976	115.5085	523.8718	-4.649581	-10.58758	-10.13063	-7.495247	-3.85116	0	-13.22013	-8.867705	-4.698607	-3.269587	16.20334	-16.62502	
gi|171906582|ref|NP_064583.2|	8.323844	-2.363649	-1.783813	8.258891	-3.534757	0.4601364	0.2951572	-1.247493	10.9263	0	-1.734454	-3.790791	-3.054315	-1.17911	0	8.807794	12.95513	
gi|17158044|ref|NP_001001.2|	16.55232	31.34428	30.86271	-2.354062	-4.386704	-1.798865	-3.902145	-4.051346	106.8717	-1.109342	0	-6.648722	-2.771108	-3.380406	0	-5.137523	16.21685	
gi|313569776|ref|NP_001186273.1|	23.83584	19.67374	2.20056	18.88058	-1.453727	-1.410219	-4.005295	-1.205821	93.60309	-1.836398	0	-8.300347	-2.197528	-3.619845	0	-6.104004	58.24537	
gi|7706495|ref|NP_057390.1|	-1.996639	0	0	4.000706	3.760621	-0.543225	-1.479376	-0.4941291	-1.550852	-1.119446	8.06211	-2.001556	5.263447	-0.8116811	13.41267	-1.90587	17.04262	
gi|54607053|ref|NP_006827.1|	6.191346	-1.998404	-1.143925	0.146936	-3.425154	0.06919246	12.2366	-0.479425	29.93931	0	-1.760183	-3.085739	-2.885398	-0.9489001	0	7.100373	3.757065	
gi|4506585|ref|NP_002937.1|	-23.39537	-4.563989	-3.997327	0	-6.163371	0	-10.67811	-3.047972	-28.46173	304.1159	325.9518	1346.637	-21.94128	-7.020207	-6.794324	-4.460364	-5.809741	
gi|9910244|ref|NP_064576.1|	3.52885	17.35487	-1.024176	31.50454	9.391768	0	-1.622605	-1.027351	-2.852922	0	0	-5.116727	-1.151343	-2.607139	0	0.2527525	38.26949	
